endTime,artistName,trackName,msPlayed
2019-12-12 02:58,Joey Purp,Hallelujah,134957
2019-12-12 03:00,OverDoz.,Manifesto,130107
2019-12-12 03:03,HA,O.P.E.N.,168744
2019-12-12 03:06,Golden Vessel,MOONSTONE,195614
2019-12-12 03:08,Denny Laflare,Number 7 Intro,90717
2019-12-12 03:10,Muroki,For Better or Worse,141067
2019-12-12 03:14,Andre Damar,Westside,261316
2019-12-12 03:18,FARR,Bulletproof,211364
2019-12-12 03:22,Jungle,Cosurmyne,219984
2019-12-12 03:25,Cosmo's Midnight,C.U.D.I (Can U Dig It),223982
2019-12-12 03:28,Ben Beal,Freshman,173974
2019-12-12 03:32,MED,The Strip,231413
2019-12-12 03:35,Robby Hunter Band,Magic City Hippies,178500
2019-12-12 03:39,Ayotemi,Maraka,226602
2019-12-12 03:42,Austin Millz,Bad Behavior,202222
2019-12-12 03:44,Yuno,Fall In Love,88272
2019-12-12 03:44,Austin Millz,Bad Behavior,5063
2019-12-12 03:54,Yuno,Fall In Love,175861
2019-12-12 03:57,Young Bull,Quiet (feat. Christian Sinclair & Claire Dickson),205417
2019-12-12 16:11,Tennis,Ladies Don't Play Guitar,224093
2019-12-12 16:21,Tennis,I Miss That Feeling,38416
2019-12-13 01:28,Tennis,Marathon,180841
2019-12-13 01:29,Tennis,Island Music,27564
2019-12-13 01:32,Tennis,Mean Streets,2159
2019-12-13 01:32,Tennis,Needle And A Knife,197558
2019-12-13 01:32,Tennis,10 Minutes 10 Years - Audiotree Live Version,946
2019-12-13 01:33,Tennis,My Emotions Are Blinding - Audiotree Live Version,53188
2019-12-13 01:33,Tennis,Please Don't Ruin This for Me - Audiotree Live Version,5446
2019-12-13 01:33,Tennis,My Better Self - Audiotree Live Version,0
2019-12-13 01:33,Tennis,Building God - Audiotree Live Version,0
2019-12-13 01:33,Tennis,Needle and a Knife - Audiotree Live Version,190
2019-12-13 01:33,Tennis,Fields of Blue - Audiotree Live Version,944
2019-12-13 01:37,Anti Lilly,Don't (It) Feel So Good,5121
2019-12-13 01:37,upper class,Atlantic.wav,14316
2019-12-13 01:37,Tennis,My Emotions Are Blinding,215831
2019-12-13 01:40,Michael Christmas,SAY CHEESE,196000
2019-12-13 01:41,Bahamas,So Free,6178
2019-12-13 01:44,Carter Ace,If It Don't Work,194246
2019-12-13 01:47,Kid Abstrakt,Love,183125
2019-12-13 01:53,Isaac Hayes,Hung Up On My Baby - Extended Jam,295738
2019-12-13 01:56,Blake Anthony,Black Coffee,204905
2019-12-13 02:00,blackwave.,The Antidote,196053
2019-12-13 02:20,Joey Purp,Hallelujah,80010
2019-12-13 03:02,Joey Purp,Hallelujah,115239
2019-12-13 03:06,Young Franco,Otherside,224004
2019-12-13 03:09,Kota the Friend,Alkaline,185000
2019-12-13 03:10,Tennis,Ladies Don't Play Guitar,42909
